have_pdf,year,cites,title,authors,venue,doi,topics,file,pdf_url,landing
YES,2025,,A Real-Time Sybil Attack Detection for Vehicular Ad Hoc Networks (VANETS) Using Spatio-Temporal Learning and XGBoost,Seyed Salar Sefati; Astik Kumar Samal; Octavian Fratu; Simona Halunga,,10.1109/wpmc67460.2025.11351272,Machine learning / deep learning; Trust / reputation; RSU / infrastructure-assisted; Datasets & simulation,pdfs/2025_Sefati_A_RealTime_Sybil_Attack_Detection_for_Vehicular_Ad_Hoc_Networks_VANETS_Using_SpatioTempora.pdf,https://zenodo.org/records/20842532,https://doi.org/10.1109/wpmc67460.2025.11351272
YES,2025,,Real-time Sybil Attack Detection Based on Channel Characterization in VANET,Reham Almesaeed,International Journal of Computer Network and Information Security,10.5815/ijcnis.2025.04.05,RSSI / signal-strength & PHY; Trust / reputation; RSU / infrastructure-assisted,pdfs/2025_Almesaeed_Realtime_Sybil_Attack_Detection_Based_on_Channel_Characterization_in_VANET.pdf,https://www.mecs-press.org/ijcnis/ijcnis-v17-n4/IJCNIS-V17-N4-5.pdf,https://doi.org/10.5815/ijcnis.2025.04.05
,2025,,Strong anonymous batch authentication scheme against sybil attack in VANET,Zeyu Man; Senshan Pan; Zhiwei Xu; M. Ye,Wireless Networks,10.1007/s11276-025-04002-5,"Cryptography, PKI & pseudonyms",,,https://doi.org/10.1007/s11276-025-04002-5
,2025,,Sybil Attack Detection and Prevention Using Dynamic Trust Mechanism in VANETs,Ashish Kumar Khare; Aradhana Saxena; Saurabh Suman; Ankita Shrivastava; Kamlesh Chandravanshi,,10.1109/ictbig68706.2025.11323646,Trust / reputation; RSU / infrastructure-assisted,,,https://doi.org/10.1109/ictbig68706.2025.11323646
,2025,,SYBIL ATTACK DETECTION IN VANET USING CNN BASED LSTM FRAMEWORK MODEL,N Mageshkumar; J Joshua Bapu,International Journal of Data Science and Artificial Intelligence,10.66135/ijdsai0302p004,Machine learning / deep learning; Datasets & simulation,,,https://doi.org/10.66135/ijdsai0302p004
YES,2025,,Design and Develop a Trust based Scheme for Sybil Attacker Detection and Prevention in VANETs,Ashish Chourey; Sitesh Kumar Sinha -; Banshi Lal Patidar -,International Journal For Multidisciplinary Research,10.36948/ijfmr.2025.v07i01.38087,Trust / reputation; RSU / infrastructure-assisted; Datasets & simulation,pdfs/2025_Chourey_Design_and_Develop_a_Trust_based_Scheme_for_Sybil_Attacker_Detection_and_Prevention_in_VAN.pdf,https://doi.org/10.36948/ijfmr.2025.v07i01.38087,https://doi.org/10.36948/ijfmr.2025.v07i01.38087
,2025,,Sybil Attack Prevention and Detection Mechanism in VANET Based on Multi-Factor Authentication,Ermias Melku Tadesse; Abubeker Girma; Abebaw Mebrate,Preprints.org,10.20944/preprints202511.1163.v1,"Cryptography, PKI & pseudonyms",,https://www.preprints.org/frontend/manuscript/8a16c9454238541c73130a30e8dbb41b/download_pub,https://doi.org/10.20944/preprints202511.1163.v1
,2025,,A Secure VANETs Model -Preventing Sybil Attacks With Computational And Location-Base Poof,Pawar Shivani; Meghana Pandita; Lakshmi Prasanna,SSRN Electronic Journal,10.2139/ssrn.5236504,Other / general Sybil defence,,https://doi.org/10.2139/ssrn.5236504,https://doi.org/10.2139/ssrn.5236504
YES,2025,,ON DISRUPTION OF EXISTING ROUTING PROTOCOLS BY SYBIL ATTACK ON VEHICLE TO VEHICLE COMMUNICATION IN VEHICULAR AD HOC NETWORKS,Nishtha,Zenodo (CERN European Organization for Nuclear Research),10.5281/zenodo.19283933,RSU / infrastructure-assisted; Routing-protocol impact,pdfs/2025_Nishtha_ON_DISRUPTION_OF_EXISTING_ROUTING_PROTOCOLS_BY_SYBIL_ATTACK_ON_VEHICLE_TO_VEHICLE_COMMUNIC.pdf,https://ierj.in/journal/index.php/ierj/article/download/5095/6403,https://ierj.in/journal/index.php/ierj/article/view/5095
YES,2025,,ON DISRUPTION OF EXISTING ROUTING PROTOCOLS BY SYBIL ATTACK ON VEHICLE TO VEHICLE COMMUNICATION IN VEHICULAR AD HOC NETWORKS,Nishtha,International Education and Research Journal,10.5281/zenodo.19283932,RSU / infrastructure-assisted; Routing-protocol impact,pdfs/2025_Nishtha_ON_DISRUPTION_OF_EXISTING_ROUTING_PROTOCOLS_BY_SYBIL_ATTACK_ON_VEHICLE_TO_VEHICLE_COMMUNIC.pdf,https://doi.org/10.5281/zenodo.19283932,https://doi.org/10.5281/zenodo.19283932
,2025,,Real-Time Sybil Attack Detection in Vehicular Networks Using Simulation-Based Machine Learning,Wasim A. Ali; Mohsen S. Alsaadi; Michèle Roccotelli; Agostino Marcello Mangini; Maria Pia Fanti,,10.1109/wincom65874.2025.11313436,Machine learning / deep learning; RSU / infrastructure-assisted; Datasets & simulation,,,https://doi.org/10.1109/wincom65874.2025.11313436
,2025,,"Securing VANET from Sybil Attack using ECC, DSA, SAD and Detecting using Hybrid Model",K MADHUSHRI; Dr.R.Arockia Xavier Annie,International Journal for Research Trends and Innovation,10.56975/ijrti.v10i12.208705,"Position / trajectory verification; Cryptography, PKI & pseudonyms; Machine learning / deep learning; Datasets & simulation",,https://www.ijrti.org/papers/IJRTI2512134.pdf,https://doi.org/10.56975/ijrti.v10i12.208705
YES,2025,,Adaptive Ship Rescue Optimization Enabled Deep Learning for Sybil Attack Detection with Secure Transmission in Urban VANET,Nitha C Velayudhan; Arun Pradeep; Mukesh Madanan,International Journal of Electronics and Communication Engineering,10.14445/23488549/ijece-v12i8p102,Machine learning / deep learning; Routing-protocol impact; Datasets & simulation,pdfs/2025_Velayudhan_Adaptive_Ship_Rescue_Optimization_Enabled_Deep_Learning_for_Sybil_Attack_Detection_with_Se.pdf,https://www.internationaljournalssrg.org/../IJECE/2025/Volume12-Issue8/IJECE-V12I8P102.pdf,https://doi.org/10.14445/23488549/ijece-v12i8p102
,2025,,Securing vehicular ad-hoc networks against DDoS and Sybil attacks via machine learning techniques,Hussain Almajed; Munam Ali Shah,IET conference proceedings.,10.1049/icp.2025.2977,Machine learning / deep learning; RSU / infrastructure-assisted; Surveys & reviews; Datasets & simulation,,,https://doi.org/10.1049/icp.2025.2977
,2025,,Sybil Attack Detection in Urban VANET Using Exponentially Spider-Tailed Viper Optimization Based Shuffle Attention Network,Nitha C. Velayudhan; Mukesh Madanan; R Sreemol; Neethu P R,,10.1109/icamac67779.2025.11398660,Position / trajectory verification; RSU / infrastructure-assisted; Routing-protocol impact; Datasets & simulation,,,https://doi.org/10.1109/icamac67779.2025.11398660
,2025,,Sybil Attack Detection in Vehicular Ad Hoc Networks Based on Transformer-CNN Model: An Interactive Security Study,Wan Wei,,10.1109/icsece65727.2025.11256944,Machine learning / deep learning,,,https://doi.org/10.1109/icsece65727.2025.11256944
YES,2025,,EXPLORING VULNERABILITY OF TOPOLOGY-BASED ROUTING PROTOCOLS TO SYBIL ATTACK IN PURE VEHICULAR AD HOC NETWORK,Nishtha,,10.5281/zenodo.19281533,RSU / infrastructure-assisted; Routing-protocol impact; Datasets & simulation,pdfs/2025_Nishtha_EXPLORING_VULNERABILITY_OF_TOPOLOGYBASED_ROUTING_PROTOCOLS_TO_SYBIL_ATTACK_IN_PURE_VEHICUL.pdf,https://ierj.in/journal/index.php/ierj/article/view/5096,https://ierj.in/journal/index.php/ierj/article/view/5096
YES,2025,,EXPLORING VULNERABILITY OF TOPOLOGY-BASED ROUTING PROTOCOLS TO SYBIL ATTACK IN PURE VEHICULAR AD HOC NETWORK,Nishtha,Zenodo (CERN European Organization for Nuclear Research),10.5281/zenodo.19281535,RSU / infrastructure-assisted; Routing-protocol impact; Datasets & simulation,pdfs/2025_Nishtha_EXPLORING_VULNERABILITY_OF_TOPOLOGYBASED_ROUTING_PROTOCOLS_TO_SYBIL_ATTACK_IN_PURE_VEHICUL.pdf,https://ierj.in/journal/index.php/ierj/article/view/5096,https://ierj.in/journal/index.php/ierj/article/view/5096
,2025,,Detection and Mitigation of Sybil Attack using Trust based Authentication scheme,M R Dharun; Ajay Krishna A S; M. Gayathri,,10.1109/icscds65426.2025.11166979,"RSSI / signal-strength & PHY; Position / trajectory verification; Cryptography, PKI & pseudonyms; Trust / reputation; RSU / infrastructure-assisted; Datasets & simulation",,,https://doi.org/10.1109/icscds65426.2025.11166979
YES,2025,,On the Impact of Sybil-based Attacks on Mobile Crowdsensing for Transportation,Alexander Söderhäll; Zahra Alimadadi; Panos Papadimitratos,arXiv preprint,10.1109/percomworkshops65533.2025.00113,Routing-protocol impact; Datasets & simulation,pdfs/2025_Sderhll_On_the_Impact_of_Sybilbased_Attacks_on_Mobile_Crowdsensing_for_Transportation.pdf,https://arxiv.org/pdf/2506.20585,https://doi.org/10.1109/percomworkshops65533.2025.00113
,2025,,ENHANCING NETWORK SECURITY WITH A HYBRID NEURAL FUSION NETWORK FOR SYBIL ATTACK DETECTION,"Sharon Nisha, M",Mendeley Data,10.17632/gpx9jkf5vf,Machine learning / deep learning; RSU / infrastructure-assisted; Datasets & simulation,,https://doi.org/10.17632/gpx9jkf5vf,https://doi.org/10.17632/gpx9jkf5vf
,2025,,ENHANCING NETWORK SECURITY WITH A HYBRID NEURAL FUSION NETWORK FOR SYBIL ATTACK DETECTION,"Sharon Nisha, M",Mendeley Data,10.17632/gpx9jkf5vf.1,Machine learning / deep learning; RSU / infrastructure-assisted; Datasets & simulation,,https://doi.org/10.17632/gpx9jkf5vf.1,https://doi.org/10.17632/gpx9jkf5vf.1
,2025,,Decentralized Sybil Attack Mitigation Using Bayesian-Stackelberg Games in V2X Networks,Ahmed Didouh; Mohamed Amine Bouzaidi Tiali; Marwane Ayaida; Yassin El Hilali; Atika Rivenq-Menhaj,,10.1109/globecom59602.2025.11432460,"Cryptography, PKI & pseudonyms; Blockchain / distributed ledger; Trust / reputation; RSU / infrastructure-assisted; Datasets & simulation",,,https://doi.org/10.1109/globecom59602.2025.11432460
,2025,,An Authentication Scheme Against Sybil Attacks Based on TLC in the IoV,Huiyong Liu; Congcong Li; Zirui Shao; Di Luan; Nan Wang,IEEE Transactions on Vehicular Technology,10.1109/tvt.2025.3556851,"Cryptography, PKI & pseudonyms; Routing-protocol impact",,,https://doi.org/10.1109/tvt.2025.3556851
YES,2025,,Sybil-resistant and privacy-preserving authentication based on short-term pseudonym for internet of vehicles,Chunhua Zhang; Xing Chang; Xiaojun Jia; Sulan Zhang; Xiaolin Wang,Scientific Reports,10.1038/s41598-025-28854-1,"Position / trajectory verification; Cryptography, PKI & pseudonyms; RSU / infrastructure-assisted",pdfs/2025_Zhang_Sybilresistant_and_privacypreserving_authentication_based_on_shortterm_pseudonym_for_inter.pdf,https://www.nature.com/articles/s41598-025-28854-1_reference.pdf,https://doi.org/10.1038/s41598-025-28854-1
,2025,,Sybil Detection in V2X: From On-vehicle Features to RSU Graph Reasoning,Ivan O. Ivanov; Ventsislav Nikolov,,10.1109/telecom66943.2025.11304115,RSU / infrastructure-assisted; Datasets & simulation,,,https://doi.org/10.1109/telecom66943.2025.11304115
,2024,,Sybil Attack Detection in VANETs Using CatBoost Classifier,EL Mehdi Fdil; El Mamoun Souidi,Lecture notes in networks and systems,10.1007/978-3-031-62273-1_27,Machine learning / deep learning,,,https://doi.org/10.1007/978-3-031-62273-1_27
,2024,,Trust-Aware Sybil Event Recognition: A decentralized approach to Sybil attack prevention in VANETs,"Morton, Thomas Lee",SHAREOK (University of Oklahoma; Oklahoma State University; Central Oklahoma University),,Position / trajectory verification; Trust / reputation,,,https://hdl.handle.net/20.500.14446/344375
,2024,,A Blockchain-Based Scheme to Prevent the Sybil Attack in VANET,Ashish Tomar,,10.1109/icccnt61001.2024.10724890,"Cryptography, PKI & pseudonyms; Blockchain / distributed ledger; Datasets & simulation",,,http://dx.doi.org/10.1109/icccnt61001.2024.10724890
,2024,,Sybil Assault Detection in VANET with Efficient Network Analysis,Shubhra Mukherjee Mathur; Nagesh Jadhav; Ravindra Kumar Gupta,,10.1109/mitadtsocicon60330.2024.10575257,Datasets & simulation,,,http://dx.doi.org/10.1109/mitadtsocicon60330.2024.10575257
,2024,,Trust-Aware Sybil Attack Detection for Resilient Vehicular Communication,"Thomas, Mortan; Abinash Borah; Anirudh Paranjothi",SHAREOK (University of Oklahoma; Oklahoma State University; Central Oklahoma University),10.48550/arxiv.2411.07520,Position / trajectory verification; Trust / reputation; RSU / infrastructure-assisted; Datasets & simulation,,https://doi.org/10.48550/arXiv.2411.07520,https://doi.org/10.48550/arXiv.2411.07520
YES,2024,,Proposed approach for securing VANET by detection and avoidance of Sybil attack,Anil Kumar Pal; Dinesh Goyal; Satyajeet Sharma; Shruti Mathur; Jitendra Kumawat; Gajanand Sharma,Journal of Discrete Mathematical Sciences and Cryptography,10.47974/jdmsc-1905,Other / general Sybil defence,pdfs/2024_Pal_Proposed_approach_for_securing_VANET_by_detection_and_avoidance_of_Sybil_attack.pdf,,https://doi.org/10.47974/jdmsc-1905
YES,2024,,Strong Anonymous Batch Authentication Scheme Against Sybil Attack in VANET,Zeyu Man; Senshan Pan; Zhiwei Xu; M. Ye,Research Square,10.21203/rs.3.rs-5417485/v1,"Cryptography, PKI & pseudonyms",pdfs/2024_Man_Strong_Anonymous_Batch_Authentication_Scheme_Against_Sybil_Attack_in_VANET.pdf,https://doi.org/10.21203/rs.3.rs-5417485/v1,https://doi.org/10.21203/rs.3.rs-5417485/v1
,2024,,"Review for ""Trust‐Aware Sybil Attack Detection for Resilient Vehicular Communication""",,,10.1002/itl2.617/v2/review1,Trust / reputation; Surveys & reviews,,,https://doi.org/10.1002/itl2.617/v2/review1
,2024,,"Review for ""Trust‐Aware Sybil Attack Detection for Resilient Vehicular Communication""",,,10.1002/itl2.617/v1/review1,Trust / reputation; Surveys & reviews,,,https://doi.org/10.1002/itl2.617/v1/review1
,2024,,"Review for ""Trust‐Aware Sybil Attack Detection for Resilient Vehicular Communication""",,,10.1002/itl2.617/v3/review2,Trust / reputation; Surveys & reviews,,,https://doi.org/10.1002/itl2.617/v3/review2
,2024,,"Review for ""Trust‐Aware Sybil Attack Detection for Resilient Vehicular Communication""",,,10.1002/itl2.617/v3/review1,Trust / reputation; Surveys & reviews,,,https://doi.org/10.1002/itl2.617/v3/review1
,2024,,"Author response for ""Trust‐Aware Sybil Attack Detection for Resilient Vehicular Communication""",Thomas L. Morton; Abinash Borah; Anirudh Paranjothi,,10.1002/itl2.617/v3/response1,Trust / reputation,,,https://doi.org/10.1002/itl2.617/v3/response1
,2024,,"Decision letter for ""Trust‐Aware Sybil Attack Detection for Resilient Vehicular Communication""",,,10.1002/itl2.617/v2/decision1,Trust / reputation,,,https://doi.org/10.1002/itl2.617/v2/decision1
,2024,,"Decision letter for ""Trust‐Aware Sybil Attack Detection for Resilient Vehicular Communication""",,,10.1002/itl2.617/v1/decision1,Trust / reputation,,,https://doi.org/10.1002/itl2.617/v1/decision1
,2024,,"Author response for ""Trust‐Aware Sybil Attack Detection for Resilient Vehicular Communication""",Thomas L. Morton; Abinash Borah; Anirudh Paranjothi,,10.1002/itl2.617/v2/response1,Trust / reputation,,,https://doi.org/10.1002/itl2.617/v2/response1
,2024,,"Decision letter for ""Trust‐Aware Sybil Attack Detection for Resilient Vehicular Communication""",,,10.1002/itl2.617/v3/decision1,Trust / reputation,,,https://doi.org/10.1002/itl2.617/v3/decision1
,2024,,Evaluating Multidimensional RSSI-Based Approaches for Identifying Sybil Nodes in VANETs to Improve Vehicle Network Security,Arockia Xavier Annie Rayan; G. Shobana,International Journal of Ad Hoc and Ubiquitous Computing,10.1504/ijahuc.2024.10065931,RSSI / signal-strength & PHY,,,https://www.inderscienceonline.com/doi/full/10.1504/IJAHUC.2024.140667
,2024,,An Enhanced Timestamp-Based Security Mechanism to Detect Sybil Attack in vehicle ad hock network (VANETs),Aliyu Abdullahi; I. S. Umar; Yusuf Surajo,International Journal of Science for Global Sustainability,10.57233/ijsgs.v10i2.673,"Cryptography, PKI & pseudonyms; RSU / infrastructure-assisted; Routing-protocol impact; Datasets & simulation",,https://www.fugus-ijsgs.com.ng/index.php/ijsgs/article/download/673/441,http://dx.doi.org/10.57233/ijsgs.v10i2.673
YES,2024,,Creating A Realistic Sybil Attack Dataset For Inter-vehicle Communication,Taner Guven; Z. Cihan Taysi,Research Square,10.21203/rs.3.rs-5417476/v1,Datasets & simulation,pdfs/2024_Guven_Creating_A_Realistic_Sybil_Attack_Dataset_For_Intervehicle_Communication.pdf,https://doi.org/10.21203/rs.3.rs-5417476/v1,https://doi.org/10.21203/rs.3.rs-5417476/v1
,2024,,SCA: SYBIL-BASED COLLIONS ATTACKS OF IIOT DATA POISOING IN FEDERATED LEARNING,David Livingston; G. Sindhu; G Geetha; K. Soniya,Journal of engineering sciences.,10.36893/jes.2024.v15i10.011,Machine learning / deep learning,,https://doi.org/10.36893/jes.2024.v15i10.011,https://doi.org/10.36893/jes.2024.v15i10.011
,2024,,Unique ID based Trust Scheme for Improved IoV Wireless Sensor Network Security Against Power Controlled Sybil Attacks,Jae-Dong Kim; Dabin Kim; Minseok Ko; Jong‐Moon Chung,arXiv (Cornell University),10.48550/arxiv.2410.04063,RSSI / signal-strength & PHY; Position / trajectory verification; Trust / reputation; Routing-protocol impact; Datasets & simulation,,https://arxiv.org/pdf/2410.04063,http://arxiv.org/abs/2410.04063
,2023,,Study of the Impact of Sybil Attack in VANETs Using F2MD,T Pavithra; B. S. Nagabhushana; Suchismitha Das,Engineering cyber-physical systems and critical infrastructures,10.1007/978-3-031-18497-0_40,Other / general Sybil defence,,,https://doi.org/10.1007/978-3-031-18497-0_40
,2023,,Fast tracing method for Sybil attack in VANETs,Zhaoyi Zhang; Yingxu Lai; Ye Chen; Jingwen Wei; Yuan Feng,,10.1109/vtc2023-fall60731.2023.10333449,"Cryptography, PKI & pseudonyms",,,http://dx.doi.org/10.1109/vtc2023-fall60731.2023.10333449
YES,2023,,Detection of Sybil & DDoS Attacks in VANET using Intelligent Technique,Urmila Bhanja; Ankit Majhi; Smrutirekha Sahoo; Debapriya Parida,Research Square,10.21203/rs.3.rs-3187938/v1,Trust / reputation,pdfs/2023_Bhanja_Detection_of_Sybil__DDoS_Attacks_in_VANET_using_Intelligent_Technique.pdf,https://www.researchsquare.com/article/rs-3187938/latest.pdf,http://dx.doi.org/10.21203/rs.3.rs-3187938/v1
YES,2023,,Detecting Sybil Attacks using Proofs of Work and Location in VANETs,G Divya Vani; M Rajeshwari; Sindhuja A,Zenodo (CERN European Organization for Nuclear Research),10.5281/zenodo.21581212,Trust / reputation; RSU / infrastructure-assisted; Datasets & simulation,pdfs/2023_Vani_Detecting_Sybil_Attacks_using_Proofs_of_Work_and_Location_in_VANETs.pdf,https://doi.org/10.5281/zenodo.21581212,https://doi.org/10.5281/zenodo.21581212
YES,2023,,Detecting Sybil Attacks using Proofs of Work and Location in VANETs,G Divya Vani; M Rajeshwari; Sindhuja A,Zenodo (CERN European Organization for Nuclear Research),10.5281/zenodo.21581213,Trust / reputation; RSU / infrastructure-assisted; Datasets & simulation,pdfs/2023_Vani_Detecting_Sybil_Attacks_using_Proofs_of_Work_and_Location_in_VANETs.pdf,https://doi.org/10.5281/zenodo.21581213,https://doi.org/10.5281/zenodo.21581213
,2023,,Three factors based sybil attack detection and RSU corruption detection in the VANET environment,Velayudhan C. Nitha; A. Arul Anitha; Madanan Mukesh,AIP conference proceedings,10.1063/5.0107817,RSU / infrastructure-assisted,,,https://doi.org/10.1063/5.0107817
,2023,,Hybrid Security Against Black Hole and Sybil Attacks in Drone-Assisted Vehicular Ad Hoc Networks,Aryan Abdlwhab Qader; Mohammed Hasan Mutar; Sameer Alani; Waleed Khalid Al‐Azzawi; Sarmad Nozad Mahmood; Hussein Muhi Hariz; Mustafa Asaad Rasol,"Smart innovation, systems and technologies",10.1007/978-981-99-6706-3_34,Other / general Sybil defence,,,https://doi.org/10.1007/978-981-99-6706-3_34
,2023,,BMSAD: behavior feature and multi-scenario-based Sybil attack detection method in vehicular networks,Jie Luo; Li Zhong,,10.1117/12.2667662,RSSI / signal-strength & PHY; Position / trajectory verification; RSU / infrastructure-assisted,,,https://doi.org/10.1117/12.2667662
,2022,,A Macroscopic Traffic Model-based Approach for Sybil Attack Detection in VANETs,Arshdeep Singh and Pranab Garg Vikas Kumar Garg,International Journal for Modern Trends in Science and Technology,10.46501/ijmtst050329,Datasets & simulation,,https://doi.org/10.46501/ijmtst050329,https://doi.org/10.46501/ijmtst050329
YES,2022,,Fuzzy clustering algorithm to identify Sybil attacks in Vehicular ad hoc networks,Mehdi MalekNasab Ardakani; Mohammad Ali Tabarzad; Mohammad Amin Shayegan,Research Square,10.21203/rs.3.rs-2216291/v1,Trust / reputation; RSU / infrastructure-assisted; Datasets & simulation,pdfs/2022_Ardakani_Fuzzy_clustering_algorithm_to_identify_Sybil_attacks_in_Vehicular_ad_hoc_networks.pdf,https://www.researchsquare.com/article/rs-2216291/latest.pdf,https://doi.org/10.21203/rs.3.rs-2216291/v1
,2022,,SyDVELM - Protegendo Vanets contra ataques Sybil usando Extreme Learning Machine,Carlos Henrique Oria Oliveira Quevedo,LA Referencia (Red Federada de Repositorios Institucionales de Publicaciones Científicas),,Machine learning / deep learning,,,https://siduece.uece.br/siduece/trabalhoAcademicoPublico.jsf?id=107692
,2022,,Detection of sybil attack by predicting traffic and analyzing network performance in vehicular ad hoc networks,Nirbhay Kumar Chaubey; Dhananjay Yadav,International Journal of Electrical and Computer Engineering (IJECE),,Datasets & simulation,,http://ijece.iaescore.com/index.php/IJECE/article/view/25985,http://ijece.iaescore.com/index.php/IJECE/article/view/25985
,2021,,Sybil Misbehavior Detection in Software Defined VANETs using Received Signal Strength,Rajendra Prasad Nayak; Srinivas Sethi; Sourav Kumar Bhoi; Kshira Sagar Sahoo; Mehedi Masud; Jehad F. Al‐Amri,Turkish Online Journal of Qualitative Inquiry,,RSSI / signal-strength & PHY; Datasets & simulation,,https://www.tojqi.net/index.php/journal/article/view/2918,https://www.tojqi.net/index.php/journal/article/view/2918
YES,2021,,Sybil attack detection in VAVET by using neighbouring vehicles in Wireless Sensor Networks,Amandeep Amandeep; Naveen Dhillon,International journal of advance research and innovative ideas in education,,Datasets & simulation,pdfs/2021_Amandeep_Sybil_attack_detection_in_VAVET_by_using_neighbouring_vehicles_in_Wireless_Sensor_Networks.pdf,,https://ijariie.com/AdminUploadPdf/Sybil_attack_detection_in_VAVET_by_using_neighbouring_vehicles_in_Wireless_Sensor_Networks_ijariie15496.pdf
,2020,,Sybil Attack Detection Algorithm for Internet of Vehicles Security,Rongxia Wang,Advances in intelligent systems and computing,10.1007/978-981-33-4572-0_14,Other / general Sybil defence,,,https://doi.org/10.1007/978-981-33-4572-0_14
YES,2019,,Increase the Performance & Security in VANET using Deduction of Sybil Attack,S Naveen; K. Selvakumar,Asian Journal of Applied Research,10.20468/ajar/104368,RSU / infrastructure-assisted,pdfs/2019_Naveen_Increase_the_Performance__Security_in_VANET_using_Deduction_of_Sybil_Attack.pdf,http://apjournals.org/images/issues/234.pdf,https://doi.org/10.20468/ajar/104368
,2019,,An Approach to Detect Sybil Attack in VANET by Neighbor Processing Algorithm,V. Aarthi; R. Anitha,CiiT international journal of wireless communication,,"Cryptography, PKI & pseudonyms; RSU / infrastructure-assisted",,,https://www.ciitresearch.org/dl/index.php/wc/article/view/WC042019003.
YES,2019,,Proactive Defence Technique (PDT) For Vehicular Ad Hoc Network To Protect Against Sybil Attack,Poonam Pandey; Ankit Mehto,International Journal of Engineering Trends and Technology,10.14445/22315381/ijett-v67i5p225,Other / general Sybil defence,pdfs/2019_Pandey_Proactive_Defence_Technique_PDT_For_Vehicular_Ad_Hoc_Network_To_Protect_Against_Sybil_Atta.pdf,,https://doi.org/10.14445/22315381/ijett-v67i5p225
,2018,,Efficient and Collusion-Resistant Detection of Sybil Attacks in VANETs,Niclas Bewermeier,Proceedings of Student Research and Creative Inquiry Day,,"Cryptography, PKI & pseudonyms; RSU / infrastructure-assisted",,,https://publish.tntech.edu/index.php/PSRCI/article/view/291
,2018,,Latest Approach For Detection And Isolation Of Malicious Node Using Sybil Attack In Vanet,Pawandeep Kaur Er. Aayushi Chadha,Zenodo (CERN European Organization for Nuclear Research),10.5281/zenodo.1158790,RSSI / signal-strength & PHY; RSU / infrastructure-assisted; Datasets & simulation,,https://zenodo.org/record/1158790,https://zenodo.org/record/1158790
YES,2018,,Attacks against security in the vehicular network and the impact of Sybil attack and Blackhole attack on the vehicular network performances: average Throughput as a study of case,Ayoub Toubi; Tomader Mazri,DOAJ (DOAJ: Directory of Open Access Journals),10.57675/imist.prsm/ijist-v4i2.70,RSU / infrastructure-assisted; Datasets & simulation,pdfs/2018_Toubi_Attacks_against_security_in_the_vehicular_network_and_the_impact_of_Sybil_attack_and_Black.pdf,https://doi.org/10.57675/imist.prsm/ijist-v4i2.70,https://doaj.org/article/6d177b7e91524f289a20d43b228cd65e
,2018,,An effective resilient approach to preserve location privacy of vehicles against sybil attack in vehicular adhoc networks,Balaram Allam,INFLIBNET,,Other / general Sybil defence,,,https://shodhganga.inflibnet.ac.in/jspui/handle/10603/248831?mode=full
YES,2018,,Broadcast Message Authentication Mechanism to Detect Clone and Sybil attacks in VANET’s based on ID-Based Signature Scheme,Kareemulla Shaik; Mohammed Ali Hussain,International Journal of Engineering & Technology,10.14419/ijet.v7i3.12.17770,"Cryptography, PKI & pseudonyms; RSU / infrastructure-assisted",pdfs/2018_Shaik_Broadcast_Message_Authentication_Mechanism_to_Detect_Clone_and_Sybil_attacks_in_VANETs_bas.pdf,https://www.sciencepubco.com/index.php/ijet/article/download/17770/7858,https://doi.org/10.14419/ijet.v7i3.12.17770
,2017,,Privacy Aware VANET Security:- Sybil Attack Detection in VANET,"Dept of Electronics & Telecommunication Engineering, M.E Student Full Time VIT Mumbai, Maharashtra, India; Amit Mane",International Journal of Advanced Research in Computer Science and Software Engineering,10.23956/ijarcsse/v7i4/0191,Other / general Sybil defence,,,http://doi.org/10.23956/ijarcsse/v7i4/0191
YES,2017,,Voiceprint: A Novel Sybil Attack Detection Method Based on RSSI for VANETs,Yao Yuan; Bin Xiao; Gaofei Wu; Xue Liu; Zhiwen Yu; Kailong Zhang; Xingshe Zhou,IEEE Conference Proceedings,,RSSI / signal-strength & PHY,pdfs/2017_Yuan_Voiceprint_A_Novel_Sybil_Attack_Detection_Method_Based_on_RSSI_for_VANETs.pdf,,https://jglobal.jst.go.jp/en/detail?JGLOBAL_ID=201702215551073533
,2016,,Sybil attackin VANET,Harvinder Kaur; Mandeep Singh Devgan; Parminder Singh,International Conference on Computing for Sustainable Global Development,,"Cryptography, PKI & pseudonyms",,,https://ieeexplore.ieee.org/document/7724856
YES,2016,,Evaluation of Hybrid framework for Detection of Sybil Attack in VANET,Pallvi Minhas; Pallavi Jindal,International Journal of Computer & Organization Trends,10.14445/22492593/ijcot-v33p306,Other / general Sybil defence,pdfs/2016_Minhas_Evaluation_of_Hybrid_framework_for_Detection_of_Sybil_Attack_in_VANET.pdf,,https://doi.org/10.14445/22492593/ijcot-v33p306
YES,2016,,Detect the Sybil Attack by using GPSR Protocol,Sheenam Arora; Chakshu Goel,International Journal of Computer Applications,10.5120/ijca2016910461,Position / trajectory verification; Routing-protocol impact,pdfs/2016_Arora_Detect_the_Sybil_Attack_by_using_GPSR_Protocol.pdf,https://doi.org/10.5120/ijca2016910461,https://doi.org/10.5120/ijca2016910461
YES,2016,,Detecting and Avoiding Sybil Attack in OLSR Protocol,,International Journal of Science and Research (IJSR),10.21275/v5i5.19051604,RSU / infrastructure-assisted; Routing-protocol impact,pdfs/2016_anon_Detecting_and_Avoiding_Sybil_Attack_in_OLSR_Protocol.pdf,https://doi.org/10.21275/v5i5.19051604,https://doi.org/10.21275/v5i5.19051604
